id,name,type,manufacturer,category,release_date,price,price_unit,cpu,gpu,os,memory,memory_unit,storage,storage_unit,display_size,display_unit,display_resolution,display_type,display_refresh_rate,display_refresh_rate_unit,battery_capacity,battery_unit,battery_charging,charging_wired_max,charging_wired_unit,charging_wireless_max,charging_wireless_unit,camera_rear,camera_front,connectivity_bluetooth,connectivity_wifi,connectivity_cellular,weight,weight_unit,dimensions,benchmarks_geekbench_single,benchmarks_geekbench_multi,benchmarks_3dmark_wild_life_extreme
iphone-12,iPhone 12,디바이스,Apple,smartphone,2020-10,1090000,KRW,apple-a14-bionic,4-core GPU,iOS 14,4,GB,64|128|256,GB,6.1,inch,2532 x 1170,Super Retina XDR OLED,60,Hz,2815,mAh,"Lightning, MagSafe, Qi",20,W,15,W,12MP + 12MP,12MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),162,g,146.7 x 71.5 x 7.4 mm,1600,4000,2500
iphone-12-pro,iPhone 12 Pro,디바이스,Apple,smartphone,2020-10,1350000,KRW,apple-a14-bionic,4-core GPU,iOS 14,6,GB,128|256|512,GB,6.1,inch,2532 x 1170,Super Retina XDR OLED,60,Hz,2815,mAh,"Lightning, MagSafe, Qi",20,W,15,W,12MP + 12MP + 12MP,12MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),189,g,146.7 x 71.5 x 7.4 mm,1600,4000,2500
iphone-12-pro-max,iPhone 12 Pro Max,디바이스,Apple,smartphone,2020-10,1490000,KRW,apple-a14-bionic,4-core GPU,iOS 14,6,GB,128|256|512,GB,6.7,inch,2778 x 1284,Super Retina XDR OLED,60,Hz,3687,mAh,"Lightning, MagSafe, Qi",20,W,15,W,12MP + 12MP + 12MP,12MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),228,g,160.8 x 78.1 x 7.4 mm,1600,4000,2500
iphone-13,iPhone 13,디바이스,Apple,smartphone,2021-09,1090000,KRW,apple-a15-bionic,4-core GPU,iOS 15,4,GB,128|256|512,GB,6.1,inch,2532 x 1170,Super Retina XDR OLED,60,Hz,3240,mAh,"Lightning, MagSafe, Qi",27,W,15,W,12MP + 12MP,12MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),174,g,146.7 x 71.5 x 7.65 mm,1700,4800,3200
iphone-13-pro,iPhone 13 Pro,디바이스,Apple,smartphone,2021-09,1350000,KRW,apple-a15-bionic,5-core GPU,iOS 15,6,GB,128|256|512|1024,GB,6.1,inch,2532 x 1170,Super Retina XDR OLED,120,Hz,3095,mAh,"Lightning, MagSafe, Qi",27,W,15,W,12MP + 12MP + 12MP,12MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),203,g,146.7 x 71.5 x 7.65 mm,1700,4800,3200
iphone-13-pro-max,iPhone 13 Pro Max,디바이스,Apple,smartphone,2021-09,1490000,KRW,apple-a15-bionic,5-core GPU,iOS 15,6,GB,128|256|512|1024,GB,6.7,inch,2778 x 1284,Super Retina XDR OLED,120,Hz,4352,mAh,"Lightning, MagSafe, Qi",27,W,15,W,12MP + 12MP + 12MP,12MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),240,g,160.8 x 78.1 x 7.65 mm,1700,4800,3200
iphone-14,iPhone 14,디바이스,Apple,smartphone,2022-09,1090000,KRW,apple-a15-bionic,5-core GPU,iOS 16,6,GB,128|256|512,GB,6.1,inch,2532 x 1170,Super Retina XDR OLED,60,Hz,3279,mAh,"Lightning, MagSafe, Qi",27,W,15,W,12MP + 12MP,12MP,5.3,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),172,g,146.7 x 71.5 x 7.80 mm,2267,5553,3200
iphone-14-plus,iPhone 14 Plus,디바이스,Apple,smartphone,2022-09,1250000,KRW,apple-a15-bionic,5-core GPU,iOS 16,6,GB,128|256|512,GB,6.7,inch,2778 x 1284,Super Retina XDR OLED,60,Hz,4325,mAh,"Lightning, MagSafe, Qi",27,W,15,W,12MP + 12MP,12MP,5.3,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),203,g,160.8 x 78.1 x 7.80 mm,2265,5555,3200
iphone-14-pro,iPhone 14 Pro,디바이스,Apple,smartphone,2022-09,1590000,KRW,apple-a16-bionic,5-core GPU,iOS 16,6,GB,128|256|512|1024,GB,6.1,inch,2556 x 1179,Super Retina XDR OLED,120,Hz,3200,mAh,"Lightning, MagSafe, Qi",27,W,15,W,48MP + 12MP + 12MP,12MP,5.3,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),206,g,147.5 x 71.5 x 7.85 mm,2614,6709,3800
iphone-14-pro-max,iPhone 14 Pro Max,디바이스,Apple,smartphone,2022-09,1590000,KRW,apple-a16-bionic,5-core GPU,iOS 16,6,GB,128|256|512|1024,GB,6.7,inch,2796 x 1290,Super Retina XDR OLED,120,Hz,4323,mAh,"Lightning, MagSafe, Qi",27,W,15,W,48MP + 12MP + 12MP,12MP,5.3,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),240,g,160.7 x 77.6 x 7.85 mm,2605,6677,3800
iphone-15,iPhone 15,디바이스,Apple,smartphone,2023-09,1250000,KRW,apple-a16-bionic,5-core GPU,iOS 17,6,GB,128|256|512,GB,6.1,inch,2556 x 1179,Super Retina XDR OLED,60,Hz,3349,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP,12MP,5.3,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),171,g,147.6 x 71.6 x 7.80 mm,2549,6335,3800
iphone-15-plus,iPhone 15 Plus,디바이스,Apple,smartphone,2023-09,1350000,KRW,apple-a16-bionic,5-core GPU,iOS 17,6,GB,128|256|512,GB,6.7,inch,2796 x 1290,Super Retina XDR OLED,60,Hz,4383,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP,12MP,5.3,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),201,g,160.9 x 77.8 x 7.80 mm,2551,6352,3800
iphone-15-pro,iPhone 15 Pro,디바이스,Apple,smartphone,2023-09,1550000,KRW,apple-a17-pro,6-core GPU,iOS 17,8,GB,128|256|512|1024,GB,6.1,inch,2556 x 1179,Super Retina XDR OLED,120,Hz,3274,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),187,g,146.6 x 70.6 x 8.25 mm,2885,7197,3655
iphone-15-pro-max,iPhone 15 Pro Max,디바이스,Apple,smartphone,2023-09,1590000,KRW,apple-a17-pro,6-core GPU,iOS 17,8,GB,256|512|1024,GB,6.7,inch,2796 x 1290,Super Retina XDR OLED,120,Hz,4441,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),221,g,159.9 x 76.7 x 8.25 mm,2877,7155,3659
iphone-16,iPhone 16,디바이스,Apple,smartphone,2024-09,1350000,KRW,apple-a18,5-core GPU,iOS 18,6,GB,128|256|512,GB,6.1,inch,2556 x 1179,Super Retina XDR OLED,60,Hz,3561,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),173,g,147.6 x 71.6 x 7.80 mm,3318,8273,
iphone-16-plus,iPhone 16 Plus,디바이스,Apple,smartphone,2024-09,1390000,KRW,apple-a18,5-core GPU,iOS 18,6,GB,128|256|512,GB,6.7,inch,2796 x 1290,Super Retina XDR OLED,60,Hz,4006,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),203,g,160.9 x 77.8 x 7.80 mm,3320,8261,
iphone-16-pro,iPhone 16 Pro,디바이스,Apple,smartphone,2024-09,1790000,KRW,apple-a18-pro,6-core GPU,iOS 18,8,GB,256|512|1024,GB,6.3,inch,2796 x 1290,Super Retina XDR OLED,120,Hz,3355,mAh,"USB-C, MagSafe, Qi",27,W,15,W,48MP + 12MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),187,g,149.6 x 71.5 x 8.25 mm,3445,8620,
