id,name,type,manufacturer,category,release_date,price,price_unit,cpu,gpu,os,memory,memory_unit,storage,storage_unit,display_size,display_unit,display_resolution,display_type,display_refresh_rate,display_refresh_rate_unit,battery_capacity,battery_unit,battery_charging,charging_wired_max,charging_wired_unit,charging_wireless_max,charging_wireless_unit,camera_rear,camera_front,connectivity_bluetooth,connectivity_wifi,connectivity_cellular,weight,weight_unit,dimensions,benchmarks_geekbench_single,benchmarks_geekbench_multi,benchmarks_3dmark_wild_life_extreme
samsung-galaxy-s21-fe,Samsung Galaxy S21 FE,디바이스,Samsung,smartphone,2022-01,799000,KRW,snapdragon-888,Adreno 660,Android 12 (One UI 4.0),6,GB,128|256,GB,6.4,inch,2400 x 1080,Dynamic AMOLED 2X,120,Hz,4500,mAh,"USB-C, Wireless, Reverse",25,W,15,W,12MP + 8MP + 12MP,32MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),177,g,155.7 x 74.5 x 7.9 mm,1100,3500,2800
samsung-galaxy-s21,Samsung Galaxy S21,디바이스,Samsung,smartphone,2021-01,999000,KRW,snapdragon-888,Adreno 660,Android 11 (One UI 3.1),8,GB,128|256,GB,6.2,inch,2400 x 1080,Dynamic AMOLED 2X,120,Hz,4000,mAh,"USB-C, Wireless, Reverse",25,W,15,W,12MP + 64MP + 12MP,10MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),169,g,151.7 x 71.2 x 7.9 mm,1100,3500,2800
samsung-galaxy-s21-plus,Samsung Galaxy S21+,디바이스,Samsung,smartphone,2021-01,1199000,KRW,snapdragon-888,Adreno 660,Android 11 (One UI 3.1),8,GB,128|256,GB,6.7,inch,2400 x 1080,Dynamic AMOLED 2X,120,Hz,4800,mAh,"USB-C, Wireless, Reverse",25,W,15,W,12MP + 64MP + 12MP,10MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),200,g,161.5 x 75.6 x 7.8 mm,1100,3500,2800
samsung-galaxy-s21-ultra,Samsung Galaxy S21 Ultra,디바이스,Samsung,smartphone,2021-01,1450000,KRW,snapdragon-888,Adreno 660,Android 11 (One UI 3.1),12,GB,128|256|512,GB,6.8,inch,3200 x 1440,Dynamic AMOLED 2X,120,Hz,5000,mAh,"USB-C, Wireless, Reverse",25,W,15,W,108MP + 10MP + 10MP + 12MP,40MP,5.0,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),227,g,165.1 x 75.6 x 8.9 mm,1100,3500,2800
samsung-galaxy-s22,Samsung Galaxy S22,디바이스,Samsung,smartphone,2022-02,999000,KRW,snapdragon-8-gen-1,Adreno 730,Android 12 (One UI 4.1),8,GB,128|256,GB,6.1,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,3700,mAh,"USB-C, Wireless, Reverse",25,W,15,W,50MP + 10MP + 12MP,10MP,5.2,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),167,g,146.0 x 70.6 x 7.6 mm,1200,3800,3200
samsung-galaxy-s22-plus,Samsung Galaxy S22+,디바이스,Samsung,smartphone,2022-02,1199000,KRW,snapdragon-8-gen-1,Adreno 730,Android 12 (One UI 4.1),8,GB,128|256,GB,6.6,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4500,mAh,"USB-C, Wireless, Reverse",45,W,15,W,50MP + 10MP + 12MP,10MP,5.2,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),195,g,157.4 x 75.8 x 7.6 mm,1200,3800,3200
samsung-galaxy-s22-ultra,Samsung Galaxy S22 Ultra,디바이스,Samsung,smartphone,2022-02,1399000,KRW,snapdragon-8-gen-1,Adreno 730,Android 12 (One UI 4.1),8,GB,128|256|512|1024,GB,6.8,inch,3088 x 1440,Dynamic AMOLED 2X,120,Hz,5000,mAh,"USB-C, Wireless, Reverse",45,W,15,W,108MP + 10MP + 10MP + 12MP,40MP,5.2,Wi-Fi 6 (802.11ax),5G (sub-6GHz and mmWave),228,g,163.3 x 77.9 x 8.9 mm,1200,3800,3200
samsung-galaxy-s23-fe,Samsung Galaxy S23 FE,디바이스,Samsung,smartphone,2023-10,899000,KRW,snapdragon-8-gen-1,Adreno 730,Android 13 (One UI 5.1),8,GB,128|256,GB,6.4,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4500,mAh,"USB-C, Wireless, Reverse",25,W,15,W,50MP + 8MP + 12MP,10MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),209,g,158.0 x 76.5 x 8.2 mm,1200,3800,3200
samsung-galaxy-s23,Samsung Galaxy S23,디바이스,Samsung,smartphone,2023-02,1099000,KRW,snapdragon-8-gen-2,Adreno 740,Android 13 (One UI 5.1),8,GB,128|256,GB,6.1,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,3900,mAh,"USB-C, Wireless, Reverse",25,W,15,W,50MP + 10MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),168,g,146.3 x 70.9 x 7.6 mm,1874,5021,3669
samsung-galaxy-s23-plus,Samsung Galaxy S23+,디바이스,Samsung,smartphone,2023-02,1299000,KRW,snapdragon-8-gen-2,Adreno 740,Android 13 (One UI 5.1),8,GB,256|512,GB,6.6,inch,2340 x 1080,Dynamic AMOLED 2X,120,Hz,4700,mAh,"USB-C, Wireless, Reverse",45,W,15,W,50MP + 10MP + 12MP,12MP,5.3,Wi-Fi 6E (802.11ax),5G (sub-6GHz and mmWave),196,g,157.8 x 76.2 x 7.6 mm,1921,5143,3712
